attribute,mean,max,min
12_disubstituted_alkene,0.15441176470588236,1.0,0.0
pattern_c49,0.3180147058823529,1.0,0.0
pattern_c116,0.07107843137254902,1.0,0.0
pubchem_f606,0.07107843137254902,1.0,0.0
pubchem_f145,0.1323529411764706,1.0,0.0
nAromBond,0.08026960784313726,22.0,0.0
pubchem_f001,0.9632352941176471,1.0,0.0
maccs_322_157,0.00428921568627451,1.0,0.0
pubchem_f629,0.2622549019607843,1.0,0.0
pattern_c308,0.0196078431372549,1.0,0.0
pubchem_f207,0.08333333333333333,1.0,0.0
alpha_beta-unsaturated_system,0.12990196078431374,1.0,0.0
maccs_k122,0.49080882352941174,1.0,0.0
pubchem_f550,0.2818627450980392,1.0,0.0
pattern_c138,0.04534313725490196,1.0,0.0
tertiary aliph amine,0.1133578431372549,1.0,0.0
pattern_c84,0.38848039215686275,1.0,0.0
maccs_322_029,0.38848039215686275,1.0,0.0
pubchem_f777,0.22977941176470587,1.0,0.0
pattern_c120,0.04656862745098039,1.0,0.0
pubchem_f705,0.39276960784313725,1.0,0.0
thiono group,0.006740196078431373,1.0,0.0
pattern_c96,0.2113970588235294,1.0,0.0
pubchem_f614,0.4430147058823529,1.0,0.0
maccs_322_272,0.001838235294117647,1.0,0.0
oxazaphosphorin_2_amine_2_oxide,0.001838235294117647,1.0,0.0
alkoxy group,0.001838235294117647,1.0,0.0
maccs_k129,0.5471813725490197,1.0,0.0
pubchem_f701,0.21568627450980393,1.0,0.0
pubchem_f703,0.14276960784313725,1.0,0.0
steroid,0.07598039215686274,1.0,0.0
maccs_k026,0.08823529411764706,1.0,0.0
pattern_c101,0.23835784313725492,1.0,0.0
pattern_c19,0.13112745098039216,1.0,0.0
secondary carboxamide,0.13112745098039216,1.0,0.0
pattern_c97,0.21629901960784315,1.0,0.0
pattern_c100,0.21629901960784315,1.0,0.0
pattern_c99,0.23345588235294118,1.0,0.0
pattern_c104,0.25674019607843135,1.0,0.0
pubchem_f567,0.21262254901960784,1.0,0.0
pattern_c319,0.015931372549019607,1.0,0.0
pubchem_f203,0.03982843137254902,1.0,0.0
pubchem_f465,0.2935049019607843,1.0,0.0
