attribute,mean,max,min
pubchem_f667,0.2818627450980392,1.0,0.0
pubchem_f685,0.5012254901960784,1.0,0.0
maccs_k050,0.2181372549019608,1.0,0.0
maccs_k153,0.5465686274509803,1.0,0.0
poly_sugar_1,0.07659313725490197,1.0,0.0
pubchem_f145,0.1323529411764706,1.0,0.0
phenoxy_compound,0.11764705882352941,1.0,0.0
oxolane,0.08946078431372549,1.0,0.0
pattern_c110,0.0741421568627451,1.0,0.0
maccs_322_027,0.7849264705882353,1.0,0.0
pattern_c86,0.7849264705882353,1.0,0.0
aryl halide,0.09129901960784313,1.0,0.0
poly_sugar_2,0.07352941176470588,1.0,0.0
pubchem_f023,0.07352941176470588,1.0,0.0
pattern_c115,0.12867647058823528,1.0,0.0
pattern_c244,0.07291666666666667,1.0,0.0
maccs_k072,0.3174019607843137,1.0,0.0
maccs_k138,0.539828431372549,1.0,0.0
pubchem_f353,0.8590686274509803,1.0,0.0
maccs_k087,0.09375,1.0,0.0
pubchem_f438,0.23774509803921567,1.0,0.0
pattern_c167,0.03982843137254902,1.0,0.0
co_single_bond,0.7647058823529411,1.0,0.0
maccs_k157,0.7647058823529411,1.0,0.0
pattern_c245,0.058823529411764705,1.0,0.0
pattern_c36,0.508578431372549,1.0,0.0
maccs_322_044,0.6795343137254902,1.0,0.0
pattern_c108,0.0778186274509804,1.0,0.0
cyclic,0.8333333333333334,1.0,0.0
maccs_k165,0.8333333333333334,1.0,0.0
pubchem_f711,0.65625,1.0,0.0
pattern_c27,0.1213235294117647,1.0,0.0
pubchem_f463,0.12193627450980392,1.0,0.0
pubchem_f538,0.12193627450980392,1.0,0.0
pubchem_f368,0.13480392156862744,1.0,0.0
piperidine_monocyclic,0.029411764705882353,1.0,0.0
pubchem_f611,0.13419117647058823,1.0,0.0
acetal,0.1323529411764706,1.0,0.0
pubchem_f378,0.1948529411764706,1.0,0.0
maccs_322_061,0.7297794117647058,1.0,0.0
maccs_322_050,0.20036764705882354,1.0,0.0
pubchem_f577,0.13848039215686275,1.0,0.0
ewg,0.09865196078431372,1.0,0.0
pattern_c18,0.09620098039215687,1.0,0.0
pattern_c342,0.014093137254901961,1.0,0.0
phenothiazine,0.006127450980392157,1.0,0.0
ATSc4,0.05188348651960787,2.436468,-3.204807
pattern_c65,0.1256127450980392,1.0,0.0
piperidine,0.028186274509803922,1.0,0.0
pattern_c116,0.07107843137254902,1.0,0.0
pattern_c2,0.09681372549019608,1.0,0.0
pubchem_f710,0.6709558823529411,1.0,0.0
pubchem_f336,0.3547794117647059,1.0,0.0
maccs_k026,0.08823529411764706,1.0,0.0
maccs_k135,0.14644607843137256,1.0,0.0
pubchem_f287,0.8725490196078431,1.0,0.0
pattern_c236,0.15012254901960784,1.0,0.0
maccs_322_030,0.2824754901960784,1.0,0.0
